sample_id,YEAR,DOI,figure_number_of_targetZT,label_of_targetZT_in_figure,figure_label_description,"mat_dimension(bulk, film, 1D, 2D)",GROUP,BASEMAT,Composition_by_element,Composition_detailed,SINTERING
206,2015.0,10.1039/C4CP04875J,Fig. 6 (b),50 (number of cycles),Ti0.26Sc0.04Zr0.35Hf0.35NiSn with 50 cycle,Bulk,HH,HH,TiScZrHfNiSn,Ti0.26Sc0.04Zr0.35Hf0.35NiSn,
207,2008.0,10.1063/1.2920210,FIG. 2 (b),Ba0.08Yb0.09Co4Sb12,"In the other figures, x=0.08, y=0.09",Bulk,SKD,SKD,BaYbCoSb,Ba0.08Yb0.09Co4Sb12.12,
209,2009.0,10.1016/j.jallcom.2008.09.120,Fig. 12,HPed at 700oC for 3h under 70MPa,La0.4FeCo3Sb12 hot pressed sample,Bulk,SKD,SKD,LaFeCoSb,La0.4FeCo3Sb12,HP
212,2012.0,10.1007/s10854-012-0668-y,Fig. 6,x=0.6,Co4Sb11.4Te0.6,Bulk,SKD,SKD,CoSbTe,Co4Sb11.4Te0.6,SPS
213,2002.0,10.1063/1.1450036,FIG. 9 (d),x=0.05,Ba0.3Ni0.05Co3.95Sb12,Bulk,SKD,SKD,BaNiCoSb,Ba0.3Ni0.05Co3.95Sb12,
214,2007.0,10.1063/1.2538036,FIG. 6,"773 K, Argon",,Bulk,SKD,SKD,CoSb,CoSb3,HP
215,2008.0,10.1063/1.2963476,FIG. 2 (d),"Co0.8Ni0.2Sb3, with pores",,Bulk,SKD,SKD,CoNiSb,Co0.9Ni0.1Sb3,
216,2009.0,10.1016/j.jallcom.2009.01.067,Fig. 6 (b),No label,CoSn1.5Se1.5,Bulk,SKD,SKD,CoSnSe,CoSn1.5Se1.5,
217,2005.0,10.1063/1.2067704,FIG. 11,x=0.5,Co4Sb11.5Te0.5,Bulk,SKD,SKD,CoSbTe,Co4Sb11.5Te0.5,SPS
218,2014.0,10.1039/c4ta02780a,Fig. 4 (d),x=0.15,CoSb2.85Te0.15,Bulk,SKD,SKD,CoSbTe,CoSb2.85 Te0.15,PAS
219,2007.0,10.1063/1.2815671,FIG. 8,x=0.15,CoSb2.85Te0.15,Bulk,SKD,SKD,CoSbTe,CoSb2.85Te0.15,SPS
221,2013.0,10.1016/j.actamat.2013.07.032,Fig. 17,after HPT,Fe0.2Co3.8Sb11.6Te0.5 after high pressure torsion (HPT) process,Bulk,SKD,SKD,FeCoSbTe,Fe0.2Co3.8Sb11.5Te0.5,HP
222,2008.0,10.1088/0022-3727/41/20/205403,Figure 5,N10-A,10 weight percentage CoSb3 nanoscale powder + Yb0.15Co4Sb12,Bulk,SKD,SKD,YbCoSb,Yb0.15Co4Sb12,SPS
223,2008.0,10.1016/j.solidstatesciences.2008.01.016,Fig. 10,y=0.27,Eu0.27Co4Sb12,Bulk,SKD,SKD,EuCoSb,Eu0.27Co4Sb12,SPS
224,2011.0,10.1063/1.3553842,FIG. 8,PrFe4Sb12,PrFe4Sb12,Bulk,SKD,SKD,PrFeSb,PrFe4Sb12,SPS
225,2010.0,10.1016/j.intermet.2009.06.005,Fig. 10 b,DD0.76Fe3.4Ni0.6Sb12,DD0.76Fe3.4Ni0.6Sb12,Bulk,SKD,SKD,DDFeNiSb,DD0.76Fe3.4Ni0.6Sb12,HP
226,2011.0,10.1016/j.intermet.2010.12.001,Fig. 16,Mm0.68Fe3CoSb12,Mm0.68Fe3CoSb12,Bulk,SKD,SKD,DDFeCoSb,DD0.65Fe3CoSb12,HP
228,2015.0,10.1016/j.actamat.2015.03.008,Fig. 13,"after HPT, T incr.",DD0.59Fe2.7Co1.3Sb11.8Sn0.2 with an additional process by HPT and increasing temperature,Bulk,SKD,SKD,DDFeCoSbSn,DD0.59Fe2.7Co1.3Sb11.8Sn0.2,HP
229,1996.0,10.1126/science.272.5266.1325,Fig. 5D,no label,LaFe3CoSb12,Bulk,SKD,SKD,LaFeCoSb,LaFe3CoSb12,
230,2008.0,10.1063/1.2920210,FIG. 2 (b),Ba0.08Yb0.09Co4Sb12,Ba0.08Yb0.09Co4Sb12,Bulk,SKD,SKD,BaYbCoSb.,Ba0.08Yb0.09Co4Sb12.12,
231,2011.0,10.1021/ja111199y,Fugure 5 (b),Ba0.08La0.05Yb0.04Co4Sb12,Ba0.08La0.05Yb0.04Co4Sb12,Bulk,SKD,SKD,BaLaYbCoSb,Ba0.08La0.05Yb0.04Co4Sb12,
232,2005.0,10.1063/1.1852072,FIG. 7,"#1610 (2.0% Ni, 0.75% Te)",Co0.98Ni0.02Sb2.25Te0.75,Bulk,SKD,SKD,CoNiSbTe,Co0.92Ni0.08Sb2.97Te0.03,
233,2011.0,10.1021/cm200560s,Figure 12,X = 0.20,CoSb2.75Ge0.05Te0.2,Bulk,SKD,SKD,CoSbGeTe,CoSb2.75Ge0.05Te0.20,
234,2001.0,10.1023/A:1012473428845,Figure 9,"(0.71, 0.12)",Ce0.12Fe0.71Co3.29Sb12,Bulk,SKD,SKD,CeFeCoSb,Ce0.12Fe0.71Co3.29Sb12,
236,2014.0,10.1007/s11664-014-3016-6,Fig. 7,Co3.9Ni0.1Sb11.5Te0.4Se0.1,Co3.9Ni0.1Sb11.5Te0.4Se0.1,Bulk,SKD,SKD,CoNiSbTeSe,Co3.9Ni0.1Sb11.3Te0.6Se0.1,
237,2009.0,10.1016/j.jallcom.2007.12.065,Fig. 8,Ce0.3Yb0.2Fe1.5Co2.5Sb12,Ce0.3Yb0.2Fe1.5Co2.5Sb12,Bulk,SKD,SKD,CeYbFeCoSb,Ce0.3Yb0.2Fe1.5Co2.5Sb12,
239,2012.0,10.1016/j.actamat.2011.10.059,Fig. 5,Li0.36Co4Sb12,Li0.36Co4Sb12,Bulk,SKD,SKD,LiCoSb,Li0.36Co4Sb12,
241,2009.0,10.1021/ja8089334,Figure 4 (d),0.14 0.23,Ba0.14In0.23Co4Sb12,Bulk,SKD,SKD,BaInCoSb,Ba0.14In0.23Co4Sb11.84,
242,2013.0,10.1016/j.intermet.2012.08.005,Fig. 6,"x=0.25, y=0.60",Yb0.25La0.6Fe2.7Co1.3Sb12,Bulk,SKD,SKD,YbLaFeCoSb,Yb0.25La0.60Fe2.7Co1.3Sb12,
244,2016.0,10.1063/1.4965865 ,FIG. 15,PIN-3,Pb0.998In0.003Te,Bulk,PbTe,PbTe,PbTeIn,Pb0.998Te1.000In0.003,HP
246,2016.0,10.1016/j.scriptamat.2016.05.016,Fig. 4 (c),x=0.02,PbTeCd0.02,Bulk,PbTe,PbTe,PbTeCd,PbTeCd0.02,HP
248,2016.0,10.3938/jkps.69.1314,Fig. 11,1.5 vol.%,Bi2Te2.7Se0.3-1.5 vol% MgO nanocomposite sample,Bulk,Bi2Te3,Bi2Te3,BiTeSeMgO,Bi2Te2.7Se0.3 1.5vol%MgO,PAS
249,2016.0,10.1063/1.4941757,FIG. 4 (d),0.3vol.%,0.3vol.%(Cu2Se)/Bi0.4Sb1.6Te3,Bulk,Bi2Te3,Bi2Te3,BiSbTeCuSe,Bi0.4Sb1.6Te3 0.3vol%Cu2Se,
250,2016.0,10.1039/c6ra24107g,Fig. 6 (c),0.2 vol.%,0.2vol.%(Cu2O)/Bi0.4Sb1.6Te3,Bulk,Bi2Te3,Bi2Te3,BiSbTeCuO,Bi0.4Sb1.6Te3 0.2vol%CuO,HP
251,2012.0,10.1039/c2jm31919e,Fig. 9,"y=0.015, Ref. [14]",Mg2.16(Si0.4Sn0.6)0.985Sb0.015,Bulk,Silicide,Mg2Si,MgSiSnSb,Mg2.16(Si0.4Sn0.6)0.975Sb0.025,SPS
252,2017.0,10.1016/j.actamat.2016.11.049,Fig. 5,CuSn7InTe9,CuSn7InTe9,Bulk,Telluride,SnTe,CuSnInTe,CuSn7InTe9,SPS
253,2016.0,10.1039/C6TA09189J,Figure 5 (d),PbTe0.66Se0.33 NWs,PbTe0.66Se0.33 nanowires,Bulk,PbTe,PbTe,PbTeSe,PbTe0.66Se0.33,SPS
255,2017.0,10.1002/adma.201605140,Figure 4 e,0.010Pb,Bi0.7Sb1.3Te3 with 1% Pb nanocomposite,Bulk,Bi2Te3,Bi2Te3,BiSbTe Pb,Bi0.7Sb1.3Te3 + 0.01at%Pb ,SPS
256,2016.0,10.1007/s11664-016-4953-z,Fig. 5,x=1,Bi0.48Sb1.52Te3 with 1 wt.% Cu,Bulk,Bi2Te3,Bi2Te3,BiSbTe Cu,Bi0.48Sb1.52Te3 1wt%Cu,SPS
257,2016.0,10.1039/c6ee02674e,Figure 7 (a),"x=1.0, y=0.02",BiSbTe3 with 2 at.% I,Bulk,Bi2Te3,Bi2Te3,BiSbSe I,BiSbSe2.94I0.06,SPS
258,2017.0,10.1016/j.jallcom.2017.02.181,Figure 4 (g),H2-annealed at 400 oC,Bi0.5Sb1.5Te3 with H2 annealing at 400 oC,Bulk,Bi2Te3,Bi2Te3,BiSbTe,Bi0.5Sb1.5Te3,SPS
259,2016.0,10.1021/jacs.6b09568,Figure 6 (d),n = 6.4 x e19,3% BiCl3-doped K2Bi8Se13,-,Selenide,KBiSe,KBiSe,K2Bi8Se13,
260,2016.0,10.1021/jacs.6b09222,Figure 8 f,bulk KBT,bulk K0.06Bi2Te3.18,Bulk,Bi2Te3,Bi2Te3,BiTe K,K0.06Bi2Te3.18,SPS
261,2016.0,10.3938/jkps.69.811,Fig. 3 (b),CBTS45,Cu0.008Bi2Te2.7Se0.3 sintered under 45 MPa,Bulk,Bi2Te3,Bi2Te3,BiTeSe Cu,Cu0.008Bi2Te2.7Se0.3,SPS
264,2007.0,10.1109/ICT.2007.4569410,Figure 2 (d),Nanosized,"bulk nanostructured (Bi,Sb)2Te3 ternary compound",Bulk,Bi2Te3,Bi2Te3,BiSbTe GeTe,BiSbTe + GeTe(nano),
265,1997.0,10.1109/ICT.1997.667089,Fig. 4 (d),x = 0.15,(Pb0.9Ge0.1) hot-pressed at 650 oC,Bulk,GeTe,GeTe,PbGeTe Bi,0.3wt%Bi + Pb0.9Ge0.1Te,HP
266,1997.0,10.1109/ICT.1997.667089,Fig. 4 (d),x = 0.15,(Pb0.85Ge0.15) hot-pressed at 750 oC,Bulk,GeTe,GeTe,PbGeTe Bi,0.3wt%Bi + Pb0.85Ge0.15Te,HP
268,2008.0,10.1088/0957-4484/19/24/245707,Figure 3 (a),TAGS-75,(GeTe)75(AgSbTe2)25,Bulk,GeTe,GeTe,GeTeAgSbTe,(GeTe)75(AgSbTe2)25,HP
269,2010.0,10.1007/s11664-009-0993-y,Fig. 3,y=1.2,(GeTe)80(Ag1.2Sb0.8Te1.8)20,Bulk,GeTe,GeTe,GeTeAgSbTe,(GeTe)80(Ag1.2Sb0.8Te1.8)20,HP
270,2009.0,10.1007/s11664-009-0779-2,Fig. 7,Ar,(AgSbTe2)15(GeTe)85 ball-milled at Ar atmosphere,Bulk,GeTe,GeTe,GeTeAgSbTe,(GeTe)85(AgSbTe2)15,SPS
272,2003.0,10.1109/ICT.2003.1287500,Figure 3,TAGS: (GeTe)3(Ag0.8Sb1.2Te.2.2)1,,Bulk,GeTe,GeTe,GeTeAgSbTe,(GeTe)8(Ag0.8Sb1.2Te2.2)2,HP
273,2009.0,10.1016/j.jssc.2009.05.024,Figure 5,TAGS-85,,Bulk,GeTe,GeTe,AgSbTe GeTe,(AgSbTe2)0.15(GeTe)0.85,SPS
275,2011.0,10.1002/adfm.201001307,Figure 6,TAGS-85+1%Ce,,Bulk,GeTe,GeTe,AgSbGeTeCe,Ag6.52Sb6.52Ge36.96Te49.00Ce1.00,
276,2004.0,10.1016/j.jallcom.2004.01.018,Figure 7,Hot pressed TlSbTe2,,Bulk,Telluride,ABQ2,TlSbTe,TlSbTe2,HP
279,2008.0,10.1016/j.jallcom.2007.01.015,Figure 7,0.1vol% SiC in Bi2Te3,0.1vol% SiC in Bi2Te3,Bulk,Bi2Te3,Bi2Te3,BiTe SiC,Bi2Te3 0.1vol%SiC,SPS
280,2006.0,10.1063/1.2172705,Figure 6,y = 0.28 (SryCo4Sb12),y = 0.28 (SryCo4Sb12),Bulk,SKD,SKD,SrCoSb,Sr0.28Co4Sb12,SPS
281,2009.0,10.1016/j.actamat.2009.02.026,Figure 8,LM-SPSed Hf0.6Zr0.4NiSn0.98Sb0.02,,Bulk,HH,HfNiSn,HfZrNiSnSb,Hf0.6Zr0.4NiSn0.98Sb0.02,SPS
