sample_id,tepname,Temperature,tepvalue
1,alpha,299.575404133415,6.25495706905333e-05
1,alpha,321.156895846122,7.462958415193179e-05
1,alpha,345.136331082463,8.457783053190699e-05
1,alpha,370.714395334561,9.973706311091692e-05
1,alpha,395.093487824841,0.0001118170765723
1,alpha,418.673265807243,0.0001293449392417
1,alpha,445.050644567219,0.0001449778978388
1,alpha,471.428023327194,0.0001613214454631
1,alpha,495.007801309597,0.0001776649930873
1,alpha,520.585865561694,0.0001885606915035
1,alpha,544.565300798035,0.0002072728692182
1,alpha,570.543022304072,0.0002122469924082
1,alpha,594.122800286474,0.0002326172111863
1,alpha,620.100521792511,0.0002354595672948
1,alpha,643.280642520974,0.0002489607588105
1,alpha,668.459049519132,0.0002539348820005
1,alpha,692.438484755474,0.0002690941145795
1,alpha,717.217234499693,0.0002686203885614
1,alpha,740.797012482095,0.0002814109910499
1,alpha,765.575762226315,0.000281884717068
1,alpha,813.934289952936,0.0002887537443304
1,alpha,863.092132187436,0.000297043949647
1,rho,298.033589447201,3.969072164948469e-06
1,rho,319.675664649486,4.481086323957327e-06
1,rho,344.074930305296,5.292096219931299e-06
1,rho,369.631468008431,5.953608247422714e-06
1,rho,394.413544570612,7.140649149922774e-06
1,rho,420.354253076766,8.034782608695683e-06
1,rho,444.34045012579,9.685534591194993e-06
1,rho,470.272999252056,1.0769230769230776e-05
1,rho,494.643027129938,1.294117647058825e-05
1,rho,520.178826409193,1.4392523364485996e-05
1,rho,544.933365064255,1.692307692307692e-05
1,rho,570.46576460189,1.8704453441295568e-05
1,rho,593.64452301625,2.158878504672898e-05
1,rho,619.56721289182,2.3692307692307752e-05
1,rho,643.133881824981,2.625000000000007e-05
1,rho,668.269191541443,2.8343558282208656e-05
1,rho,692.227850683348,3.164383561643846e-05
1,rho,716.968110423608,3.3e-05
1,rho,740.926089617189,3.696000000000007e-05
1,rho,765.272999252057,3.818181818181831e-05
1,rho,813.968858366764,4.317757009345805e-05
1,rho,863.057047664377,4.914893617021288e-05
1,kappa,298.524892440073,3.07215861770492
1,kappa,325.445605408727,2.79913006477235
1,kappa,373.38660110633,2.40620128890068
1,kappa,394.406883835279,2.28408213105035
1,kappa,423.909035033804,2.06429846924858
1,kappa,446.773202212661,1.9133263384528
1,kappa,473.693915181315,1.75790133581609
