dbname,dbversion,dbpubname,sample_id,YEAR,URL,DOI,figure_number_of_targetZT,label_of_targetZT_in_figure,figure_label_description,"mat_dimension(bulk, film, 1D, 2D)",GROUP,BASEMAT,Composition_by_element,Composition_detailed,SINTERING
tematdb,v1.1.6,teMatDb272,272,2003.0,https://doi.org/10.1109/ICT.2003.1287500,10.1109/ICT.2003.1287500,Figure 3,TAGS: (GeTe)3(Ag0.8Sb1.2Te.2.2)1,,Bulk,GeTe,GeTe,GeTeAgSbTe,(GeTe)8(Ag0.8Sb1.2Te2.2)2,HP
tematdb,v1.1.6,teMatDb272,273,2009.0,https://doi.org/10.1016/j.jssc.2009.05.024,10.1016/j.jssc.2009.05.024,Figure 5,TAGS-85,,Bulk,GeTe,GeTe,AgSbTe GeTe,(AgSbTe2)0.15(GeTe)0.85,SPS
tematdb,v1.1.6,teMatDb272,275,2011.0,https://doi.org/10.1002/adfm.201001307,10.1002/adfm.201001307,Figure 6,TAGS-85+1%Ce,,Bulk,GeTe,GeTe,AgSbGeTeCe,Ag6.52Sb6.52Ge36.96Te49.00Ce1.00,
tematdb,v1.1.6,teMatDb272,276,2004.0,https://doi.org/10.1016/j.jallcom.2004.01.018,10.1016/j.jallcom.2004.01.018,Figure 7,Hot pressed TlSbTe2,,Bulk,Telluride,ABQ2,TlSbTe,TlSbTe2,HP
tematdb,v1.1.6,teMatDb272,279,2008.0,https://doi.org/10.1016/j.jallcom.2007.01.015,10.1016/j.jallcom.2007.01.015,Figure 7,0.1vol% SiC in Bi2Te3,0.1vol% SiC in Bi2Te3,Bulk,Bi2Te3,Bi2Te3,BiTe SiC,Bi2Te3 0.1vol%SiC,SPS
tematdb,v1.1.6,teMatDb272,280,2006.0,https://doi.org/10.1063/1.2172705,10.1063/1.2172705,Figure 6,y = 0.28 (SryCo4Sb12),y = 0.28 (SryCo4Sb12),Bulk,SKD,SKD,SrCoSb,Sr0.28Co4Sb12,SPS
tematdb,v1.1.6,teMatDb272,281,2009.0,https://doi.org/10.1016/j.actamat.2009.02.026,10.1016/j.actamat.2009.02.026,Figure 8,LM-SPSed Hf0.6Zr0.4NiSn0.98Sb0.02,,Bulk,HH,HfNiSn,HfZrNiSnSb,Hf0.6Zr0.4NiSn0.98Sb0.02,SPS
tematdb,v1.1.6,teMatDb272,282,2010.0,https://doi.org/10.1016/j.actamat.2010.03.025,10.1016/j.actamat.2010.03.025,Figure 8,"x=0.26, y=0.2",YbxCo4Sb12/yGaSb,Bulk,SKD,SKD,YbCoSb GaSb,Yb0.26Co4Sb12 / 0.2GaSb,SPS
tematdb,v1.1.6,teMatDb272,283,2008.0,https://doi.org/10.1063/1.3027060,10.1063/1.3027060,Figure 3(d),Nano Sample-1,,Bulk,SiGe,SiGe,SiGe,SiGe nanopowder,HP
tematdb,v1.1.6,teMatDb272,284,2008.0,https://doi.org/10.1002/adfm.200800298,10.1002/adfm.200800298,Figure 6,x=0.8,Yb14Mn1-xAlxSb11,Bulk,SKD,SKD,YbMnAlSb,Yb14Mn0.2Al0.8Sb11,HP
