DOI,sample_id,YEAR,DOIlink,dbnanme,dbversion,pykeri_compatible,TF_matzt_complete,TF_mat_complete,fraction_Ts_TEPZToverTEPZTex,is_Temperature_range_valid,autoTc,autoTh,ztTc,ztTh,Tc_ofTEP,Th_ofTEP,Tc_ofZT,Th_ofZT,Tc_ofTEPZT,Th_ofTEPZT,deltaT_ofTEP,deltaT_ofZT,deltaT_ofTEPZT,avg_ZT_ofRawFig,avg_ZT_ofTEPEval,peak_ZT_ofRawFig,peak_ZT_ofTEPEval,d_Tmid,d_avgZT,d_peakZT,errdZT_Linf,errdZT_L2,errdZT_L1,is_avg_ZT_ofRawFig_positiveFinite,is_avg_ZT_ofTEPEval_positiveFinite,ispeak_ZT_ofRawFig_positiveFinite,is_peak_ZT_ofTEPEval_positiveFinite,errdZT_Linf_over_avg_ZT_ofRawFig,errdZT_Linf_over_avg_ZT_ofTEPEval,errdZT_Linf_over_peak_ZT_ofRawFig,errdZT_Linf_over_peak_ZT_ofTEPEval,cri_product_def,cri_product_1o2,cri_product_1o5
10.1039/c6ra24107g,250,2016.0,https://DOI.org/10.1039/c6ra24107g,tematdb,v1.1.6,True,True,True,1.0,True,303.0124426981,496.396396396396,303.056027164685,496.434634974533,304.0,496.0,304.0,496.0,304.0,496.0,192.0,192.0,192.0,1.1852878670760982,1.1807909806925754,1.373959702441024,1.3727991083574884,0.0,0.0044968863835228,0.0011605940835355,0.0099141338548716,0.0051827573038316,0.0044968863835227,True,True,True,True,0.0083643257728842,0.0083961802020681,0.007215738450886,0.0072218387923733,True,True,True
10.1039/c2jm31919e,251,2012.0,https://DOI.org/10.1039/c2jm31919e,tematdb,v1.1.6,True,True,True,0.988095238095238,True,301.773,800.0,297.765,798.246,302.0,800.0,298.0,798.0,302.0,798.0,498.0,500.0,496.0,0.8192273493052001,0.8274231021253995,1.2719880159460288,1.2947475489346274,-3.0,-0.0081957528201993,-0.0227595329885985,0.0391501897867038,0.0123686819632275,0.0093131796195866,True,True,True,True,0.0477891635574761,0.0473158045577151,0.0307787410698097,0.0302377014105322,True,True,False
10.1016/j.actamat.2016.11.049,252,2017.0,https://DOI.org/10.1016/j.actamat.2016.11.049,tematdb,v1.1.6,True,True,True,0.9964912280701754,True,302.294,873.93,305.59,873.913,304.0,872.0,306.0,872.0,306.0,872.0,568.0,566.0,566.0,0.440636531422883,0.4472231798542032,0.9773479209516804,1.00078363203927,1.0,-0.0065866484313201,-0.0234357110875895,0.0497264401335765,0.0271642354850799,0.0245403646634848,True,True,True,True,0.1128513788291729,0.111189317489732,0.0508789542266136,0.04968750341395,True,False,False
10.1039/C6TA09189J,253,2016.0,https://DOI.org/10.1039/C6TA09189J,tematdb,v1.1.6,True,True,True,0.993975903614458,True,330.873061458931,662.995594713656,332.967959527824,662.984822934232,332.0,662.0,334.0,662.0,334.0,662.0,330.0,328.0,328.0,0.8795079020117669,0.8763585561658023,1.1129703202559722,1.1040103886306476,1.0,0.0031493458459646,0.0089599316253246,0.0351816475963715,0.0119029866599066,0.0085595320667411,True,True,True,True,0.0400015139328456,0.040145266282669,0.0316105892098543,0.031867134547537,True,True,False
10.1038/ncomms13901,254,2017.0,https://DOI.org/10.1038/ncomms13901,tematdb,v1.1.6,True,True,True,0.9905660377358492,True,302.678,722.102,299.174,722.808,304.0,722.0,300.0,722.0,304.0,722.0,418.0,422.0,418.0,1.1255393569207093,1.0806742129846107,1.6806300637333949,1.599158788545268,-2.0,0.0448651439360985,0.0814712751881268,0.1634819135709091,0.0637275287238885,0.0516815997394544,True,True,True,True,0.1452476206768715,0.1512777038691467,0.0972741813315812,0.1022299441068177,False,False,False
10.1002/adma.201605140,255,2017.0,https://DOI.org/10.1002/adma.201605140,tematdb,v1.1.6,True,True,True,1.0,True,312.91,636.596,312.239,636.248,314.0,636.0,314.0,636.0,314.0,636.0,322.0,322.0,322.0,0.809477547168823,0.817948301103508,1.0236055212478117,1.0401634540281544,0.0,-0.0084707539346849,-0.0165579327803426,0.0284512328524383,0.0121491815625916,0.0102730115957182,True,True,True,True,0.0351476491867471,0.0347836566370445,0.0277951146822217,0.0273526557218075,True,True,False
10.1007/s11664-016-4953-z,256,2016.0,https://DOI.org/10.1007/s11664-016-4953-z,tematdb,v1.1.6,True,True,True,0.9682539682539684,True,303.129,547.89,301.826,552.484,304.0,546.0,302.0,552.0,304.0,546.0,242.0,250.0,242.0,0.7114265839716969,0.7154073741650492,0.8599270767160161,0.8729061288921302,2.0,-0.0039807901933522,-0.012979052176114,0.0217622036648408,0.0079253743001136,0.006109754481156,True,True,True,True,0.0305895283577238,0.0304193169524419,0.0253070338800689,0.0249307490743143,True,True,False
10.1039/c6ee02674e,257,2016.0,https://DOI.org/10.1039/c6ee02674e,tematdb,v1.1.6,True,True,True,0.9601593625498008,True,306.656,795.37,293.852,789.819,308.0,794.0,294.0,788.0,308.0,788.0,486.0,494.0,480.0,0.5919747182497128,0.5954296973044758,1.0036801059791411,0.9652946871590516,-10.0,-0.0034549790547629,0.0383854188200895,0.056533244061168,0.0241719031534106,0.0163589175588215,True,True,True,True,0.0954994230637406,0.094945287944312,0.0563259585642747,0.0585657880574795,True,False,False
10.1016/j.jallcom.2017.02.181,258,2017.0,https://DOI.org/10.1016/j.jallcom.2017.02.181,tematdb,v1.1.6,True,True,True,0.9885057471264368,True,298.4273,471.84,298.8454,473.845,300.0,470.0,300.0,472.0,300.0,470.0,170.0,172.0,170.0,0.8049528379950541,0.8067789638519647,1.013755139572904,1.0138984027808124,1.0,-0.0018261258569105,-0.0001432632079083,0.0112827712154811,0.0056096092213538,0.0046295769357847,True,True,True,True,0.014016686050308,0.0139849595998532,0.0111296809012821,0.0111281082843566,True,True,True
10.1021/jacs.6b09568,259,2016.0,https://DOI.org/10.1021/jacs.6b09568,tematdb,v1.1.6,True,True,True,0.989547038327526,True,303.277,870.778,302.5,877.5,304.0,870.0,304.0,876.0,304.0,870.0,566.0,572.0,566.0,0.7435380728645766,0.7383079987573932,1.2816422857142855,1.284714080681151,3.0,0.0052300741071834,-0.0030717949668654,0.0328270161241873,0.0175547694666153,0.015079060060081,True,True,True,True,0.0441497447436915,0.0444624955701912,0.0256132436406717,0.0255520015058779,True,True,False
10.1021/jacs.6b09222,260,2016.0,https://DOI.org/10.1021/jacs.6b09222,tematdb,v1.1.6,True,True,True,1.0,True,306.935,466.347,307.179,466.154,308.0,466.0,308.0,466.0,308.0,466.0,158.0,158.0,158.0,0.9647376029753144,0.8955540479403519,1.1593471529389916,1.094054557598242,0.0,0.0691835550349624,0.0652925953407494,0.0949357758328948,0.0709331583687449,0.0691835550349625,True,True,True,True,0.0984058002301419,0.1060078685940102,0.0818872721533225,0.0867742610947168,True,False,False
10.3938/jkps.69.811,261,2016.0,https://DOI.org/10.3938/jkps.69.811,tematdb,v1.1.6,True,True,True,0.9775280898876404,True,308.108,483.614,306.266,484.061,310.0,482.0,308.0,484.0,310.0,482.0,172.0,176.0,172.0,0.6950134122239374,0.7038932859273194,0.7523058237968435,0.7572741913020027,0.0,-0.0088798737033819,-0.0049683675051591,0.0111047747825995,0.0083058386116548,0.0082151307256613,True,True,True,True,0.0159777848704616,0.0157762192147776,0.0147609847369708,0.0146641400303195,True,True,True
10.1016/j.physb.2005.03.022,262,2005.0,https://DOI.org/10.1016/j.physb.2005.03.022,tematdb,v1.1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False
10.1007/s11664-009-1037-3,263,2010.0,https://DOI.org/10.1007/s11664-009-1037-3,tematdb,v1.1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False
